,config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
196,197,ae3_lat75_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.75,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.024746247,0.03343730792403221,0.024746252223849297,0.0067489045,0.017997343,False,0.0031995466,0.0215467,False,success
135,136,ae2_lat75_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.75,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024987953,0.04021838679909706,0.02525494620203972,0.0067489045,0.018239047,False,0.0031995466,0.021788407,False,success
120,121,ae2_lat75_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.75,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02514029,0.03432511165738106,0.025140294805169106,0.0067489045,0.018391386,False,0.0031995466,0.021940742,False,success
63,64,ae1_lat75_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.75,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.025498232,0.037254877388477325,0.02549823187291622,0.0067489045,0.018749326,False,0.0031995466,0.022298686,False,success
192,193,ae3_lat75_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,3,0.75,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.025554534,0.036482855677604675,0.025554539635777473,0.0067489045,0.01880563,False,0.0031995466,0.022354987,False,success
200,201,ae3_lat75_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,3,0.75,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.025618503,0.03665965422987938,0.025618508458137512,0.0067489045,0.018869597,False,0.0031995466,0.022418957,False,success
137,138,ae2_lat75_hd3_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.75,3,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.025721435,0.05322399362921715,0.025721434503793716,0.0067489045,0.018972531,False,0.0031995466,0.022521887,False,success
49,50,ae1_lat75_hd1_lstm_m40_relu_adam_lr0.001_bs64_mae,1,0.75,1,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.026047932,0.03321763500571251,0.026047933846712112,0.0067489045,0.019299027,False,0.0031995466,0.022848386,False,success
198,199,ae3_lat75_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.75,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.026208924,0.05180909112095833,0.02620892971754074,0.0067489045,0.019460019,False,0.0031995466,0.023009378,False,success
67,68,ae1_lat75_hd3_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.75,3,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.026447088,0.044825002551078796,0.02644708752632141,0.0067489045,0.019698184,False,0.0031995466,0.02324754,False,success
44,45,ae1_lat50_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.026508065,0.037668779492378235,0.026508061215281487,0.0067489045,0.01975916,False,0.0031995466,0.02330852,False,success
213,214,ae3_lat75_hd3_gru_m40_relu_adam_lr0.001_bs64_mae,3,0.75,3,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.026725871,0.03194756060838699,0.02672586590051651,0.0067489045,0.019976966,False,0.0031995466,0.023526326,False,success
131,132,ae2_lat75_hd2_lstm_m80_relu_adam_lr0.001_bs64_mae,2,0.75,2,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.026742117,0.05930502712726593,0.026742123067378998,0.0067489045,0.019993212,False,0.0031995466,0.023542572,False,success
66,67,ae1_lat75_hd3_lstm_m60_relu_adam_lr0.001_bs64_mae,1,0.75,3,LSTM,0.6,relu,mae,adam,0.001,64,10,15,0.026811047,0.04466018080711365,0.02681104838848114,0.0067489045,0.020062141,False,0.0031995466,0.0236115,False,success
5,6,ae1_lat25_hd1_gru_m40_relu_adam_lr0.001_bs64_mae,1,0.25,1,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.02706594,0.07230319082736969,0.027065934613347054,0.0067489045,0.020317037,False,0.0031995466,0.023866393,False,success
129,130,ae2_lat75_hd2_lstm_m40_relu_adam_lr0.001_bs64_mae,2,0.75,2,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.027081002,0.037760667502880096,0.027080997824668884,0.0067489045,0.020332098,False,0.0031995466,0.023881454,False,success
36,37,ae1_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.027132703,0.0407671220600605,0.027132704854011536,0.0067489045,0.020383798,False,0.0031995466,0.023933157,False,success
214,215,ae3_lat75_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.75,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.027153395,0.03333854302763939,0.027153395116329193,0.0067489045,0.020404492,False,0.0031995466,0.023953848,False,success
171,172,ae3_lat50_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,3,0.5,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.027164126,0.05815820395946503,0.027164127677679062,0.0067489045,0.02041522,False,0.0031995466,0.02396458,False,success
174,175,ae3_lat50_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.5,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.02735758,0.0530865453183651,0.02735758014023304,0.0067489045,0.020608675,False,0.0031995466,0.024158034,False,success
145,146,ae3_lat25_hd1_lstm_m40_relu_adam_lr0.001_bs64_mae,3,0.25,1,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.027366107,0.054438021034002304,0.02736610919237137,0.0067489045,0.020617202,False,0.0031995466,0.024166562,False,success
188,189,ae3_lat50_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.5,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.02736865,0.03511400893330574,0.02736864797770977,0.0067489045,0.020619746,False,0.0031995466,0.024169102,False,success
